id,status,name,name_en,province,amphoe,tambon,lat,lng,first_seen,sessions,photo,motdang_url
cm-curated-tom-tiao-rueaikasot,added,ต้อม เตี๋ยวเรือยกซด,,cm,เมืองเชียงใหม่,หนองหอย,18.760126,99.016997,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-077-l.jpg,https://motdang.net/cm/p/cmcuratedtomtiaorueaikasot.html
cm-curated-top-property,added,Top Property,Top Property,cm,เมืองเชียงใหม่,ศรีภูมิ,18.789589,98.98007,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-place-cm-curated-top-property.jpg,https://motdang.net/cm/p/top-property-cmcuratedtopproperty.html
cm-curated-unigam-store,added,UNIGAM STORE,UNIGAM STORE,cm,เมืองเชียงใหม่,ศรีภูมิ,18.789645,98.979196,2026-09-23,1,,https://motdang.net/cm/p/unigam-store-cmcuratedunigamstore.html
cm-curated-utilities-15743,confirmed,ตู้น้ำหยอดเหรียญ(water king),,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7895755,98.9787684,2026-09-23,1,,https://motdang.net/cm/p/water-king-15743.html
cm-curated-utilities-4993,confirmed,สยามแก๊ส (ถนน มหิดล),,cm,เมืองเชียงใหม่,หนองหอย,18.758728,98.999367,2026-09-23,1,,https://motdang.net/cm/p/4993.html
cm-curated-vet-14792,confirmed,การุณ สัตวแพทย์,,cm,เมืองเชียงใหม่,ท่าศาลา,18.7780454,99.0420797,2026-09-23,1,,https://motdang.net/cm/p/14792.html
cm-curated-vet-29308,confirmed,โรงพยาบาลสัตว์เชียงใหม่ เซ็นเตอร์,,cm,เมืองเชียงใหม่,ท่าศาลา,18.7708468,99.0412544,2026-09-23,1,,https://motdang.net/cm/p/29308.html
cm-curated-vet-33852,confirmed,คลินิกรักษาสัตว์วอทเดอะเพ็ท What the pet,,cm,เมืองเชียงใหม่,ช้างคลาน,18.7678464,98.9838281,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-177-r.jpg,https://motdang.net/cm/p/what-the-pet-33852.html
cm-curated-wana-li-phoefum,added,วนาลี เพอร์ฟูม,,cm,เมืองเชียงใหม่,หนองหอย,18.757007,99.002984,2026-09-23,1,,https://motdang.net/cm/p/cmcuratedwanaliphoefum.html
cm-curated-wiaiphi-b-thek-sun-sukphan,added,วีไอพี บีเทค ศูนย์สุขภัณฑ์,,cm,เมืองเชียงใหม่,ท่าศาลา,18.768193,99.040298,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-aa1911-130-r.jpg,https://motdang.net/cm/p/cmcuratedwiaiphibtheksunsukphan.html
cm-curated-wing-41-sport-development-center-pimantip,added,ศูนย์พัฒนากีฬา บน.41 (พิมานทิพย์),WING 41 SPORT DEVELOPMENT CENTER (PIMANTIP),cm,เมืองเชียงใหม่,,18.781374,98.977419,2026-09-23,1,,https://motdang.net/cm/p/wing-41-sport-development-center-pimantip-41.html
cm-curated-yuri-thai-massage,added,Yuri Thai Massage,Yuri Thai Massage,cm,เมืองเชียงใหม่,ศรีภูมิ,18.789654,98.97904,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-305-r.jpg,https://motdang.net/cm/p/yuri-thai-massage-cmcuratedyurithaimassage.html
cm-osm-node-10801495606,confirmed,GYMkruoor,,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7934069,98.9826081,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-374-f.jpg,https://motdang.net/cm/p/gymkruoor-10801495606.html
cm-osm-node-11197061037,confirmed,Cockpit/Saveway Auto Service,Cockpit/Saveway Auto Service,cm,เมืองเชียงใหม่,ช้างคลาน,18.7673525,98.9858931,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-170-r.jpg,https://motdang.net/cm/p/cockpit-saveway-auto-service-11197061037.html
cm-osm-node-11227905197,confirmed,Getthawha Thai Massage,Getthawha Thai Massage,cm,เมืองเชียงใหม่,ศรีภูมิ,18.789581,98.9794505,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-ab2131-308-r.jpg,https://motdang.net/cm/p/getthawha-thai-massage-11227905197.html
cm-osm-node-11227905206,confirmed,Bed in Town,Bed in Town,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7894625,98.9801328,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-place-cm-osm-node-11227905206.jpg,https://motdang.net/cm/p/bed-in-town-11227905206.html
cm-osm-node-11498882632,confirmed,AT Business & Law,,cm,เมืองเชียงใหม่,ช้างคลาน,18.7673866,98.9854274,2026-09-23,1,,https://motdang.net/cm/p/at-business-law-11498882632.html
cm-osm-node-11499334713,confirmed,Chiang Mai Vinyl,,cm,เมืองเชียงใหม่,ท่าศาลา,18.7704648,99.0405402,2026-09-23,1,,https://motdang.net/cm/p/chiang-mai-vinyl-11499334713.html
cm-osm-node-11515426705,confirmed,Warp Tattoo,,cm,เมืองเชียงใหม่,ศรีภูมิ,18.7924277,98.9821748,2026-09-23,1,https://nanobotco.github.io/field/photos/2026-09-23/ride-20260923-place-cm-osm-node-11515426705.jpg,https://motdang.net/cm/p/warp-tattoo-11515426705.html
