status,id,name,kind,lat,lng,motdang_url
added,cm-curated-linda-eye-clinic,Linda Eye Clinic,"eye clinic: surgery, laser, retinal scan, glasses",18.779369,98.977109,https://motdang.net/cm/p/linda-eye-clinic-cmcuratedlindaeyeclinic.html
added,cm-curated-chaeohon-phayao,แจ่วฮ้อน พะเยา,jaew hon hotpot restaurant,18.771778,99.04127,https://motdang.net/cm/p/cmcuratedchaeohonphayao.html
added,cm-curated-cotto-life,COTTO Life,tile and bathroom showroom,18.774681,98.976408,https://motdang.net/cm/p/cotto-life-cmcuratedcottolife.html
added,cm-curated-yuri-thai-massage,Yuri Thai Massage,Thai massage,18.789654,98.97904,https://motdang.net/cm/p/yuri-thai-massage-cmcuratedyurithaimassage.html
added,cm-curated-jeune-hostel-at-phra-singh,Jeune Hostel at Phra Singh,hostel,18.789638,98.979343,https://motdang.net/cm/p/jeune-hostel-at-phra-singh-cmcuratedjeunehostelatphrasingh.html
added,cm-curated-kumuang-properties,บริษัท คูเมือง พร็อพเพอร์ตี้ส์ จำกัด,real-estate company office,18.789598,98.979973,https://motdang.net/cm/p/kumuang-properties-cmcuratedkumuangproperties.html
added,cm-curated-khlangsinkha-loetwasin,คลังสินค้าเลิศวสิน,building-materials warehouse,18.786085,99.041549,https://motdang.net/cm/p/cmcuratedkhlangsinkhaloetwasin.html
added,cm-curated-matrix-honda-automobile,บริษัท แมทริกซ์ ฮอนด้า ออโตโมบิล จำกัด,Honda car showroom and service centre,18.784218,99.041899,https://motdang.net/cm/p/matrix-honda-automobile-cmcuratedmatrixhondaautomobile.html
added,cm-curated-sv-pharmacy,SV Pharmacy,pharmacy; free blood-pressure check,18.790617,98.978363,https://motdang.net/cm/p/sv-pharmacy-cmcuratedsvpharmacy.html
added,cm-curated-praisani-samyaek-suan-prung,ไปรษณีย์ สามแยกสวนปรุง,post office,18.78005,98.97721,https://motdang.net/cm/p/cmcuratedpraisanisamyaeksuanprung.html
added,cm-curated-ricoh-services,บริษัท ริโก้ เซอร์วิสเซส (ประเทศไทย) จำกัด,office equipment: copiers and printers,18.767813,98.981901,https://motdang.net/cm/p/ricoh-services-thailand-cmcuratedricohservices.html
added,cm-curated-regional-postal-bureau-5,สำนักงานไปรษณีย์เขต 5,regional postal bureau office,18.78005,98.97721,https://motdang.net/cm/p/regional-postal-bureau-5-5.html
added,cm-curated-121-coffee,121 Coffee,cafe,18.78997,98.978349,https://motdang.net/cm/p/121-coffee-121.html
confirmed,cm-osm-node-6138692197,De Charme Hotel,hotel,,,https://motdang.net/cm/p/de-charme-hotel-6138692197.html
confirmed,cm-osm-way-537852249,บางจาก,transport,,,https://motdang.net/cm/p/bangchak-537852249.html
confirmed,cm-osm-node-2469653312,ปลาเผาผักสด,food,,,https://motdang.net/cm/p/pla-pow-pak-sod-2469653312.html
confirmed,cm-osm-node-2466325290,7-Eleven,essentials,,,https://motdang.net/cm/p/7-eleven-2466325290.html
confirmed,cm-osm-node-6538035004,คู่อร่อย,food,,,https://motdang.net/cm/p/6538035004.html
confirmed,cm-osm-way-242929434,วัดผาบ่อง,wat,,,https://motdang.net/cm/p/wat-pha-bong-242929434.html
confirmed,cm-osm-node-9784520720,barber,beauty,,,https://motdang.net/cm/p/barber-9784520720.html
confirmed,cm-curated-paper-5487,เจ.พี. โฆษณา,essentials,,,https://motdang.net/cm/p/5487.html
confirmed,cm-ovt-222d5b22-f86a-4c2b-b5af-5408072e331e,เค พาร์ค,hotel,,,https://motdang.net/cm/p/222522864255408072331.html
confirmed,cm-ovt-11081868-03a2-47d3-ba3d-e3e92f29a335,Mass Coffee,food,,,https://motdang.net/cm/p/mass-coffee-11081868032473339229335.html
confirmed,cm-osm-way-208674913,บางจาก,transport,,,https://motdang.net/cm/p/bangchak-208674913.html
confirmed,cm-ovt-95158348-0989-4bbe-8df7-4312ca9d87ca,ข้าวหมูทอด ตั้ง ตัว ฮะ,food,,,https://motdang.net/cm/p/9515834809894874312987.html
confirmed,cm-osm-way-283054964,Caltex,transport,,,https://motdang.net/cm/p/caltex-283054964.html
confirmed,cm-ovt-8de02d4a-e9a4-4c36-90d3-f37ac8a80d79,โรงเรียนอภัยอริยศึกษา,school,,,https://motdang.net/cm/p/8024944369033788079.html
confirmed,cm-ovt-a994bd50-cf13-4313-9dda-33a95a4c36ff,Chiangmai Muay Thai Gym,sport,,,https://motdang.net/cm/p/chiangmai-muay-thai-gym-9945013431393395436.html
confirmed,cm-ovt-0d2df384-9fed-4487-a500-7412c1fa96e0,พีจีเอแบตเตอรี่,business,,,https://motdang.net/cm/p/023849448750074121960.html
confirmed,cm-ovt-ce360a66-30b9-498e-8712-30205f774809,เชียงใหม่โลหะภัณฑ์,repair,,,https://motdang.net/cm/p/36066309498871230205774809.html
confirmed,cm-osm-way-623152998,บ้านอารักษ์,realestate,,,https://motdang.net/cm/p/baan-arak-623152998.html
confirmed,cm-osm-node-3385510725,นุชนรี,beauty,,,https://motdang.net/cm/p/3385510725.html
confirmed,cm-osm-node-11515426705,Warp Tattoo,tattoo,,,https://motdang.net/cm/p/warp-tattoo-11515426705.html
confirmed,cm-ovt-4418bba0-5f7a-487c-8981-ea43fe90f442,สหกรณ์การเกษตรเมืองเชียงใหม่ จำกัด,business,,,https://motdang.net/cm/p/441805748789814390442.html
confirmed,cm-ovt-2d810a2f-ef43-4ad3-9347-3dba8f0ad47b,Best Look Optic,medical,,,https://motdang.net/cm/p/best-look-optic-281024343934738047.html
confirmed,cm-ovt-15a17430-8f50-4f4f-8fb0-18692b9885ff,ระเบียบพานิช,repair,,,https://motdang.net/cm/p/15174308504480186929885.html
confirmed,cm-osm-node-10801495606,GYMkruoor,sport,,,https://motdang.net/cm/p/gymkruoor-10801495606.html
confirmed,cm-ovt-8735b55d-9edd-4a24-bae7-3aa1c7ae3a57,ครูพายุ สอนว่ายน้ำ,parks,,,https://motdang.net/cm/p/87355594247317357.html
confirmed,cm-ovt-beccea3a-4257-423b-a52a-0cf4646a8ded,Ping Audio Shop,repair,,,https://motdang.net/cm/p/ping-audio-shop-3425742352046468.html
confirmed,cm-ovt-101e85b2-9b8c-4be3-8119-c3621efa8541,บ้านเอื้ออาทร,sights,,,https://motdang.net/cm/p/1018529843811936218541.html
confirmed,cm-osm-way-544114219,7-Eleven,essentials,,,https://motdang.net/cm/p/7-eleven-544114219.html
confirmed,cm-ovt-26c7594c-c0e7-46e5-85af-8c5d26b86627,Lanna Lab,medical,,,https://motdang.net/cm/p/lanna-lab-2675940746585852686627.html
confirmed,cm-ovt-81a0b56e-e346-4cf7-8d56-1285ce6ee8c2,Toyota Sure Chiang Mai,repair,,,https://motdang.net/cm/p/toyota-sure-chiang-mai-81056346478561285682.html
confirmed,cm-osm-node-7027943486,Hug Smoothie,food,,,https://motdang.net/cm/p/hug-smoothie-7027943486.html
confirmed,cm-ovt-5043732e-f0c1-4068-8a4d-b7017519ff9a,K-Perfect Nails & Spa - Singharat,beauty,,,https://motdang.net/cm/p/k-perfect-nails-spa-singharat-50437320140688470175199.html
confirmed,cm-curated-vet-14792,การุณ สัตวแพทย์,pets,,,https://motdang.net/cm/p/14792.html
confirmed,cm-ovt-662af26f-073d-4107-b58a-ffc206f5a8b8,เจเจ.ออโต้ไทร์,repair,,,https://motdang.net/cm/p/66226073410758206588.html
confirmed,cm-ovt-47aa87b0-2159-4686-94f7-686bd683fb9a,ไพบูลย์ ดอกไม้แห้ง,shopping,,,https://motdang.net/cm/p/47870215946869476866839.html
confirmed,cm-ovt-f921a92a-8eaf-48cd-9faa-ecb7b0ab59ca,มาลี ก๋วยเตี๋ยวต้มยำสุโขทัย,food,,,https://motdang.net/cm/p/9219284897059.html
confirmed,cm-curated-professional-26928,สิทธิทนายความ,business,,,https://motdang.net/cm/p/26928.html
confirmed,cm-osm-node-6597502156,อ้อมเมือง เภสัช,essentials/medical,,,https://motdang.net/cm/p/om-mueang-pharmacy-6597502156.html
confirmed,cm-osm-way-585950762,แก๊สรถยนต์,transport,,,https://motdang.net/cm/p/kaet-rotyon-585950762.html
confirmed,cm-osm-way-249376159,GranDent Dental Clinic,medical,,,https://motdang.net/cm/p/grandent-dental-clinic-249376159.html
confirmed,cm-osm-way-301655694,เจียง ลูกชิ้นปลา,food,,,https://motdang.net/cm/p/chiang-lukchin-pla-301655694.html
confirmed,cm-ovt-0453959d-4a5b-4195-89c3-ed4316b9be07,ชัชวาลย์อีเลคทรอนิคส์ เชียงใหม่,repair,,,https://motdang.net/cm/p/04539594541958934316907.html
confirmed,cm-ovt-d750a232-0c69-475c-9990-341b5c8a3473,Greather Coffee,food,,,https://motdang.net/cm/p/greather-coffee-7502320694759990341583473.html
confirmed,cm-osm-node-5859346225,เสริมสวย อารีย์,beauty,,,https://motdang.net/cm/p/ari-5859346225.html
confirmed,cm-osm-node-11227905206,Bed in Town,hotel,,,https://motdang.net/cm/p/bed-in-town-11227905206.html
confirmed,cm-ovt-a86be3f0-3a59-4ae7-83c9-b1b19a2a32d2,สิงหราช เภสัช,essentials,,,https://motdang.net/cm/p/8630359478391192322.html
confirmed,cm-osm-node-7027943294,Women’s massage,massage,,,https://motdang.net/cm/p/women-s-massage-7027943294.html
confirmed,cm-ovt-7979a4d0-5ed4-46bf-84a0-7dae22b30f1d,Siri Lanna Massage1,massage,,,https://motdang.net/cm/p/siri-lanna-massage1-7979405446840722301.html
confirmed,cm-ovt-c21fc7cf-6d2f-4a38-8b22-e6d4eb0e5019,Risa Thai Massage,massage,,,https://motdang.net/cm/p/risa-thai-massage-217624388226405019.html
confirmed,cm-osm-node-2342018523,7-Eleven,essentials,,,https://motdang.net/cm/p/7-eleven-2342018523.html
confirmed,cm-osm-node-8690712209,สี่ พี่น้อง,essentials/medical,,,https://motdang.net/cm/p/4-phinong-8690712209.html
confirmed,cm-curated-home-16567,ส.อลูมิเนียม,repair,,,https://motdang.net/cm/p/16567.html
confirmed,cm-ovt-d0537261-825d-4947-ae3f-c7b023152430,Block and Play Cafe,food,,,https://motdang.net/cm/p/block-and-play-cafe-0537261825494737023152430.html
confirmed,cm-osm-node-3067759753,แดงกลอนประตู,repair,,,https://motdang.net/cm/p/daeng-klon-pratu-3067759753.html
confirmed,cm-ovt-9950505e-cb51-466f-89df-eae255112d80,Finnix Film,repair,,,https://motdang.net/cm/p/finnix-film-9950505514668925511280.html
confirmed,cm-ovt-a7f179b0-ce4e-4b7d-9b7c-838e40c4bed6,The Spacebar,food,,,https://motdang.net/cm/p/the-spacebar-71790447978384046.html
confirmed,cm-ovt-1264ee99-0a43-4b15-81a0-e8ca85f87759,อภิรักษ์การแพทย์,medical,,,https://motdang.net/
confirmed,cm-ovt-32ca7d8b-1ff4-4c5c-b881-0e2df6db1496,C.I Tower,business,,,https://motdang.net/cm/p/c-i-tower-327814458810261496.html
confirmed,cm-osm-node-1618122063,7-Eleven,essentials,,,https://motdang.net/cm/p/7-eleven-1618122063.html
confirmed,cm-osm-way-406992974,วัดดับภัย,wat,,,https://motdang.net/cm/p/wat-dubphai-406992974.html
